front,back
排序在数据结构中的定义是什么？,按照每个记录的关键码将记录重新排列，使其从小到大或从大到小有序
什么是排序算法的稳定性？,如果具有相同关键码的记录在排序前后的相对位置不变，则该排序算法是稳定的
评价一个排序算法的主要标准是什么？,时间复杂度、空间复杂度和算法本身的复杂度
内部排序和外部排序的区别是什么？,内部排序是在内存中完成的排序，外部排序是需要外部存储器参与的排序
比较排序和非比较排序的主要区别是什么？,比较排序通过比较关键码进行排序，非比较排序通过其他方式进行排序，如计数或分配
起泡排序的基本过程是什么？,依次比较相邻元素，若反序则交换，重复n-1趟，直至所有元素有序
如何改进起泡排序的效率？,记录最后一次交换的位置，减少无序区范围，避免多余比较
起泡排序的时间复杂度和空间复杂度分别是多少？,时间复杂度为O(n^2)，空间复杂度为O(1)
起泡排序的最好情况时间复杂度是多少？,O(n)
直接插入排序的基本思想是什么？,每趟将一个待排序的记录插入到一个已经排序的有序序列中，直到全部记录排序好
在直接插入排序中，有序区和无序区间的关系？,有序区包含已排序的元素，无序区包含待排序的元素，每趟排序从无序区选择一个元素插入有序区
直接插入排序的最好、最坏和平均时间复杂度分别是多少？,最好O(n)，最坏O(n^2)，平均O(n^2)
直接插入排序是稳定的排序算法吗？为什么？,是，因为相同元素在插入过程中不会改变相对位置
在简单选择排序中，如何在无序区选择最小的记录？,假设无序区的第一个元素为最小值，依次与后续元素比较，更新最小值位置
简单选择排序的时间复杂度是多少？,O(n^2)
希尔排序与插入排序的关系？,希尔排序（Shell Sort）是一种基于插入排序的改进算法，通过分组和逐渐减小增量来提高排序效率
希尔排序是稳定的排序算法吗？为什么？,不是，因为相同元素在分组和插入排序过程中可能会交换位置
希尔排序中如何选择增量序列？,增量序列通常取n/2，n/4，…，直到增量为1，
在希尔排序中，增量序列的作用是什么？,增量序列决定了排序的分组方式和最终的排序效率
希尔排序的时间复杂度范围是什么？,O(n^2) 和 O(n log^2 n) 之间
快速排序相较于起泡排序的主要改进点是什么？,记录的比较和移动从两端向中间进行，减少了移动次数
快速排序的基本思想是什么？,选择一个基准，将序列分为小于基准和大于基准的两部分，递归排序
快速排序中通常如何选择基准？,通常选择序列的第一个记录作为基准
快速排序如何进行分区以确保基准两侧有序？,通过左右扫描，将小于基准的移到左侧，大于基准的移到右侧
快速排序的递归何时结束？,当分区只剩一个记录时，递归结束
快速排序的递归实现步骤是什么？,选择基准元素，分区，将基准放到正确位置，对左右子序列递归调用快速排序
快速排序的递归调用条件是什么？,当左索引小于右索引时，递归调用快速排序函数
快速排序的最佳情况是什么？,每次分区后左右子序列长度相等，时间复杂度为O(n log n)
快速排序的最差情况是什么？,每次分区只得到一个子序列，时间复杂度为O(n^2)
快速排序的平均时间复杂度是多少？,O(n log n)
快速排序的栈深度是多少？,O(log n)
堆排序如何改进了简单选择排序？,使用堆结构每次选择最小（或最大）元素，提高选择效率
小根堆和大根堆在完全二叉树中的性质区别是什么？,小根堆：每个结点值≤左右孩子结点值；大根堆：每个结点值≥左右孩子结点值
堆的根结点有什么特点？,小根堆根结点是最小值，大根堆根结点是最大值
堆在顺序存储结构中，结点r[i]是什么的父结点？,r[i]是r[2i]和r[2i+1]的父结点
堆排序的基本步骤有哪些？,构建堆，输出堆顶元素，将最后一个元素移至堆顶并调整堆，重复直到排序完成
输出堆顶元素后如何调整堆？,将堆顶元素与最后一个元素交换，调整剩余部分使其成为堆
小根堆如何筛选顶元素？,将顶元素与最后一个元素交换，调整剩余部分以恢复堆性质
堆排序如何进行建堆？,从最后一个非叶子节点开始向上调整，每个节点向下筛选以构建堆
堆排序的时间复杂度是多少？,O(n log n)
在二路归并排序中，如何将两个有序子序列合并？,比较两个子序列的第一个元素，较小的放入新序列，依次进行直到所有元素合并完毕
二路归并排序中如何处理剩余未处理的元素？,当一个子序列处理完后，直接将另一个子序列的剩余元素加入新序列
归并排序如何分割序列进行排序？,将序列递归地分成两个子序列，分别排序后再归并成一个有序序列
归并排序中的分治法包括哪三个步骤？,分解问题、解决问题、合并问题的解
非递归归并排序如何处理长度为h的序列？,长度为h的序列两两归并，把结果保存在r1数组中
归并排序的时间复杂度是多少？,O(n log n)
归并排序的空间复杂度是多少？,O(n)
归并排序是稳定的排序方法吗？为什么？,是，因为相同元素的相对位置在排序过程中不改变
归并排序与快速排序在性能上的主要区别是什么？,归并排序在最坏情况下时间复杂度为O(n log n)，而快速排序在最坏情况下时间复杂度为O(n^2)
归并排序适用于哪些应用场景？,适用于数据量大且需要稳定排序的场景，如外部排序
计数排序如何确定元素的位置？,通过统计比每个元素小的元素个数来确定其在排序后的序列中的位置
在计数排序中如何处理重复元素？,每次处理重复元素时，对应的计数减1，放置到正确位置
计数排序的时间复杂度由哪些部分组成？,统计元素个数O(n)，计算<=元素的个数O(k)，排序O(n)，总计O(n + k)
为什么桶排序可能不适合处理数据分布不均匀的情况？,数据分布不均匀会导致桶，有些桶可能会包含大量数据，而其他桶几乎为空，桶内数据的排序时间复杂度会显著增加。
桶排序在分配元素时如何保证稳定性？,元素按其关键字分配到对应的桶中，桶内使用稳定的排序算法保持元素相对顺序
桶排序的时间复杂度由哪些部分组成？,清空桶O(m)，分配元素O(n)，收集桶O(m)，总计O(m + n)
在桶排序中，如何处理桶内元素？,每个桶用一个链表存储元素，新元素按值大小插入到链表的正确位置
桶排序中如何收集非空桶中的元素？,将非空桶中的元素按顺序首尾相连，形成一个有序链表
基数排序如何处理多位数的排序？,按各个位的值进行排序，低位到高位逐位排序，相当于多次桶排序
基数排序适用于哪些类型的序列？,适用于整数或字符串等定长数据的排序
如何利用快速排序求第k小值？,修改快速排序，找到第k小值的位置，通过分区过程确定k的位置
如何对带头结点的单链表进行直接插入排序？,从头结点开始遍历，比较并插入新节点到已排序部分的适当位置
基数排序中处理多位数排序时的顺序是什么？,从最低位到最高位逐位进行排序
基数排序如何保证排序稳定性？,每一位的排序都使用稳定的排序算法，如计数排序
带头结点的单链表进行直接插入排序的关键步骤是什么？,从头结点开始，依次将未排序部分的元素插入到已排序部分的适当位置
如何对带头结点的单链表进行简单选择排序？,依次遍历链表，将当前位置的元素与后续元素进行比较并交换，找到最小值
在链表选择排序中如何交换结点的值？,使用临时变量交换两个结点的数据域
如果有1万条数据，为什么选择线性查找？,因为数据量较小，线性查找的时间复杂度为O(n)，可以接受
查找算法的性能为什么通过ASL评价？,因为ASL反映了查找过程中比较次数的多少，比较次数越少则性能越好
为什么静态查找和动态查找有不同的操作？,静态查找不涉及插入和删除操作，而动态查找需要处理插入和删除操作
树表查找和散列表查找是否适用于动态查找？为什么？,是，树表查找和散列表查找可以高效处理插入和删除操作
为什么顺序查找适合处理乱序数据？,顺序查找逐个比较元素，无需数据预排序，适合乱序数据查找
